Train,Direction,Type,Station,Time
237N,northbound,Local,Tamien,573
237N,northbound,Local,San Jose,580
237N,northbound,Local,Santa Clara,585
237N,northbound,Local,Lawrence,590
237N,northbound,Local,Sunnyvale,594
237N,northbound,Local,Mountain View,599
237N,northbound,Local,San Antonio,603
237N,northbound,Local,California Ave,607
237N,northbound,Local,Palo Alto,611
237N,northbound,Local,Menlo Park,614
237N,northbound,Local,Redwood City,619
237N,northbound,Local,San Carlos,623
237N,northbound,Local,Belmont,626
237N,northbound,Local,Hillsdale,629
237N,northbound,Local,San Mateo,633
237N,northbound,Local,Burlingame,636
237N,northbound,Local,Millbrae,641
237N,northbound,Local,San Bruno,645
237N,northbound,Local,San Francisco,662
225N,northbound,Local,San Jose,470
225N,northbound,Local,Sunnyvale,480
225N,northbound,Local,Mountain View,485
225N,northbound,Local,California Ave,491
225N,northbound,Local,Palo Alto,496
225N,northbound,Local,San Carlos,504
225N,northbound,Local,Hillsdale,508
225N,northbound,Local,San Mateo,512
225N,northbound,Local,Burlingame,515
225N,northbound,Local,San Bruno,522
225N,northbound,Local,San Francisco,537
275N,northbound,Local,San Jose,1051
275N,northbound,Local,Lawrence,1059
275N,northbound,Local,Mountain View,1066
275N,northbound,Local,Palo Alto,1074
275N,northbound,Local,Menlo Park,1077
275N,northbound,Local,San Carlos,1084
275N,northbound,Local,Hillsdale,1088
275N,northbound,Local,San Mateo,1092
275N,northbound,Local,Burlingame,1095
275N,northbound,Local,San Bruno,1102
275N,northbound,Local,San Francisco,1119
231N,northbound,Local,San Jose,502
231N,northbound,Local,Santa Clara,507
231N,northbound,Local,Mountain View,517
231N,northbound,Local,Menlo Park,525
231N,northbound,Local,Redwood City,531
231N,northbound,Local,San Carlos,535
231N,northbound,Local,Belmont,538
231N,northbound,Local,Hillsdale,542
231N,northbound,Local,Hayward Park,545
231N,northbound,Local,San Mateo,548
231N,northbound,Local,Burlingame,551
231N,northbound,Local,Millbrae,557
231N,northbound,Local,San Bruno,561
231N,northbound,Local,So. San Francisco,565
231N,northbound,Local,Bayshore,571
231N,northbound,Local,22nd Street,577
231N,northbound,Local,San Francisco,585
151N,northbound,Limited,San Jose,790
151N,northbound,Limited,Santa Clara,795
151N,northbound,Limited,Lawrence,800
151N,northbound,Limited,Sunnyvale,804
151N,northbound,Limited,Mountain View,809
151N,northbound,Limited,San Antonio,813
151N,northbound,Limited,California Ave,817
151N,northbound,Limited,Palo Alto,821
