Subject,Resource Type,Odds
Special Needs,Books,0.01
Special Needs,Supplies,-0.12
Special Needs,Technology,-0.115
Special Needs,Other,-0.05
Music & The Arts,Books,0.42
Music & The Arts,Supplies,0.29
Music & The Arts,Technology,0.035
Music & The Arts,Other,0.435
Math&Science,Books,0.22
Math&Science,Supplies,0.2
Math&Science,Technology,0.09
Math&Science,Other,0.12
Literacy & Language,Books,0.07
Literacy & Language,Supplies,-0.22
Literacy & Language,Technology,-0.18
Literacy & Language,Other,-0.23
History & Civics,Books,0.34
History & Civics,Supplies,-0.03
History & Civics,Technology,-0.08
History & Civics,Other,-0.015
Health & Sports,Books,-0.4
Health & Sports,Supplies,0.06
Health & Sports,Technology,-0.18
Health & Sports,Other,0.18
Applied Learning,Books,0.11
Applied Learning,Supplies,-0.27
Applied Learning,Technology,-0.225
Applied Learning,Other,-0.27
