id,sepal length,sepal width,petal length,petal width,species
r1,5.1,3.5,1.4,0.2,setosa
r2,4.9,3,1.4,0.2,setosa
r3,4.7,3.2,1.3,0.2,setosa
r4,4.6,3.1,1.5,0.2,setosa
r5,5,3.6,1.4,0.2,setosa
r6,5.4,3.9,1.7,0.4,setosa
r7,4.6,3.4,1.4,0.3,setosa
r8,5,3.4,1.5,0.2,setosa
r9,4.4,2.9,1.4,0.2,setosa
r10,4.9,3.1,1.5,0.1,setosa
r11,5.4,3.7,1.5,0.2,setosa
r12,4.8,3.4,1.6,0.2,setosa
r13,4.8,3,1.4,0.1,setosa
r14,4.3,3,1.1,0.1,setosa
r15,5.8,4,1.2,0.2,setosa
r16,5.7,4.4,1.5,0.4,setosa
r17,5.4,3.9,1.3,0.4,setosa
r18,5.1,3.5,1.4,0.3,setosa
r19,5.7,3.8,1.7,0.3,setosa
r20,5.1,3.8,1.5,0.3,setosa
r21,5.4,3.4,1.7,0.2,setosa
r22,5.1,3.7,1.5,0.4,setosa
r23,4.6,3.6,1,0.2,setosa
r24,5.1,3.3,1.7,0.5,setosa
r25,4.8,3.4,1.9,0.2,setosa
r26,5,3,1.6,0.2,setosa
r27,5,3.4,1.6,0.4,setosa
r28,5.2,3.5,1.5,0.2,setosa
r29,5.2,3.4,1.4,0.2,setosa
r30,4.7,3.2,1.6,0.2,setosa
r31,4.8,3.1,1.6,0.2,setosa
r32,5.4,3.4,1.5,0.4,setosa
r33,5.2,4.1,1.5,0.1,setosa
r34,5.5,4.2,1.4,0.2,setosa
r35,4.9,3.1,1.5,0.2,setosa
r36,5,3.2,1.2,0.2,setosa
r37,5.5,3.5,1.3,0.2,setosa
r38,4.9,3.6,1.4,0.1,setosa
r39,4.4,3,1.3,0.2,setosa
r40,5.1,3.4,1.5,0.2,setosa
r41,5,3.5,1.3,0.3,setosa
r42,4.5,2.3,1.3,0.3,setosa
r43,4.4,3.2,1.3,0.2,setosa
r44,5,3.5,1.6,0.6,setosa
r45,5.1,3.8,1.9,0.4,setosa
r46,4.8,3,1.4,0.3,setosa
r47,5.1,3.8,1.6,0.2,setosa
r48,4.6,3.2,1.4,0.2,setosa
r49,5.3,3.7,1.5,0.2,setosa
r50,5,3.3,1.4,0.2,setosa
r51,7,3.2,4.7,1.4,versicolor
r52,6.4,3.2,4.5,1.5,versicolor
r53,6.9,3.1,4.9,1.5,versicolor
r54,5.5,2.3,4,1.3,versicolor
r55,6.5,2.8,4.6,1.5,versicolor
r56,5.7,2.8,4.5,1.3,versicolor
r57,6.3,3.3,4.7,1.6,versicolor
r58,4.9,2.4,3.3,1,versicolor
r59,6.6,2.9,4.6,1.3,versicolor
r60,5.2,2.7,3.9,1.4,versicolor
r61,5,2,3.5,1,versicolor
r62,5.9,3,4.2,1.5,versicolor
r63,6,2.2,4,1,versicolor
r64,6.1,2.9,4.7,1.4,versicolor
r65,5.6,2.9,3.6,1.3,versicolor
r66,6.7,3.1,4.4,1.4,versicolor
r67,5.6,3,4.5,1.5,versicolor
r68,5.8,2.7,4.1,1,versicolor
r69,6.2,2.2,4.5,1.5,versicolor
r70,5.6,2.5,3.9,1.1,versicolor
r71,5.9,3.2,4.8,1.8,versicolor
r72,6.1,2.8,4,1.3,versicolor
r73,6.3,2.5,4.9,1.5,versicolor
r74,6.1,2.8,4.7,1.2,versicolor
r75,6.4,2.9,4.3,1.3,versicolor
r76,6.6,3,4.4,1.4,versicolor
r77,6.8,2.8,4.8,1.4,versicolor
r78,6.7,3,5,1.7,versicolor
r79,6,2.9,4.5,1.5,versicolor
r80,5.7,2.6,3.5,1,versicolor
r81,5.5,2.4,3.8,1.1,versicolor
r82,5.5,2.4,3.7,1,versicolor
r83,5.8,2.7,3.9,1.2,versicolor
r84,6,2.7,5.1,1.6,versicolor
r85,5.4,3,4.5,1.5,versicolor
r86,6,3.4,4.5,1.6,versicolor
r87,6.7,3.1,4.7,1.5,versicolor
r88,6.3,2.3,4.4,1.3,versicolor
r89,5.6,3,4.1,1.3,versicolor
r90,5.5,2.5,4,1.3,versicolor
r91,5.5,2.6,4.4,1.2,versicolor
r92,6.1,3,4.6,1.4,versicolor
r93,5.8,2.6,4,1.2,versicolor
r94,5,2.3,3.3,1,versicolor
r95,5.6,2.7,4.2,1.3,versicolor
r96,5.7,3,4.2,1.2,versicolor
r97,5.7,2.9,4.2,1.3,versicolor
r98,6.2,2.9,4.3,1.3,versicolor
r99,5.1,2.5,3,1.1,versicolor
r100,5.7,2.8,4.1,1.3,versicolor
r101,6.3,3.3,6,2.5,virginica
r102,5.8,2.7,5.1,1.9,virginica
r103,7.1,3,5.9,2.1,virginica
r104,6.3,2.9,5.6,1.8,virginica
r105,6.5,3,5.8,2.2,virginica
r106,7.6,3,6.6,2.1,virginica
r107,4.9,2.5,4.5,1.7,virginica
r108,7.3,2.9,6.3,1.8,virginica
r109,6.7,2.5,5.8,1.8,virginica
r110,7.2,3.6,6.1,2.5,virginica
r111,6.5,3.2,5.1,2,virginica
r112,6.4,2.7,5.3,1.9,virginica
r113,6.8,3,5.5,2.1,virginica
r114,5.7,2.5,5,2,virginica
r115,5.8,2.8,5.1,2.4,virginica
r116,6.4,3.2,5.3,2.3,virginica
r117,6.5,3,5.5,1.8,virginica
r118,7.7,3.8,6.7,2.2,virginica
r119,7.7,2.6,6.9,2.3,virginica
r120,6,2.2,5,1.5,virginica
r121,6.9,3.2,5.7,2.3,virginica
r122,5.6,2.8,4.9,2,virginica
r123,7.7,2.8,6.7,2,virginica
r124,6.3,2.7,4.9,1.8,virginica
r125,6.7,3.3,5.7,2.1,virginica
r126,7.2,3.2,6,1.8,virginica
r127,6.2,2.8,4.8,1.8,virginica
r128,6.1,3,4.9,1.8,virginica
r129,6.4,2.8,5.6,2.1,virginica
r130,7.2,3,5.8,1.6,virginica
r131,7.4,2.8,6.1,1.9,virginica
r132,7.9,3.8,6.4,2,virginica
r133,6.4,2.8,5.6,2.2,virginica
r134,6.3,2.8,5.1,1.5,virginica
r135,6.1,2.6,5.6,1.4,virginica
r136,7.7,3,6.1,2.3,virginica
r137,6.3,3.4,5.6,2.4,virginica
r138,6.4,3.1,5.5,1.8,virginica
r139,6,3,4.8,1.8,virginica
r140,6.9,3.1,5.4,2.1,virginica
r141,6.7,3.1,5.6,2.4,virginica
r142,6.9,3.1,5.1,2.3,virginica
r143,5.8,2.7,5.1,1.9,virginica
r144,6.8,3.2,5.9,2.3,virginica
r145,6.7,3.3,5.7,2.5,virginica
r146,6.7,3,5.2,2.3,virginica
r147,6.3,2.5,5,1.9,virginica
r148,6.5,3,5.2,2,virginica
r149,6.2,3.4,5.4,2.3,virginica
r150,5.9,3,5.1,1.8,virginica
