species,sepal_length
setosa,5.1
setosa,4.9
setosa,4.7
setosa,4.6
setosa,5
setosa,5.4
setosa,4.6
setosa,5
setosa,4.4
setosa,4.9
setosa,5.4
setosa,4.8
setosa,4.8
setosa,4.3
setosa,5.8
setosa,5.7
setosa,5.4
setosa,5.1
setosa,5.7
setosa,5.1
setosa,5.4
setosa,5.1
setosa,4.6
setosa,5.1
setosa,4.8
setosa,5
setosa,5
setosa,5.2
setosa,5.2
setosa,4.7
setosa,4.8
setosa,5.4
setosa,5.2
setosa,5.5
setosa,4.9
setosa,5
setosa,5.5
setosa,4.9
setosa,4.4
setosa,5.1
setosa,5
setosa,4.5
setosa,4.4
setosa,5
setosa,5.1
setosa,4.8
setosa,5.1
setosa,4.6
setosa,5.3
setosa,5
