Model,Investigation_Type,Event_Date,Location,Country,Aircraft_Damage,Make,Fatal_Injuries,Intro,Outro,Operational_Count,Is_Operational
CRJ-200,Accident,9/17/00,"""ATLANTA, GA""",United States,None Reported,Bombardier,0,1/1/92,1/1/07,1054,No
CL-600,Accident,12/16/07,"""Providence, RI""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,12/14/08,"""Philadelphia, PA""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,12/18/09,"""Dallas, TX""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,10/23/11,"""Atlanta, GA""",United States,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,9/25/10,"""John F. Kennedy International Airport, NY""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,7/14/11,"""Boston, MA""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,6/2/02,"""Atlanta, GA""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CRJ-200,Accident,2/28/09,"""Tallahassee, FL""",United States,Substantial,Bombardier,0,1/1/92,1/1/07,1054,No
CL-600,Accident,1/8/01,"""Detroit, MI""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,1/3/01,"""Covington, KY""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CRJ-200,Accident,4/11/11,"""Jamaica, NY""",United States,Substantial,Bombardier,0,1/1/92,1/1/07,1054,No
CRJ-700,Incident,9/13/14,"""Hodeida, Yemen""",Yemen,Minor,Bombardier,0,5/1/99,9/21/17,764,Yes
DHC-8,Incident,3/5/13,"""Danville, CA""",United States,Minor,Bombardier,0,1/1/84,9/21/17,1185,Yes
DHC-8,Accident,9/29/13,"""Reno, NV""",United States,None Reported,Bombardier,0,1/1/84,9/21/17,1185,Yes
DHC-8,Incident,3/1/02,"""Boise, ID""",United States,None Reported,Bombardier,0,1/1/84,9/21/17,1185,Yes
CL-600,Accident,10/27/04,"""Philadelphia, PA""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,12/15/08,"""Chicago, IL""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,12/29/04,"""Austin, TX""",United States,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,4/2/11,"""Phoenix, AZ""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
DHC-8,Accident,5/18/13,"""Newark, NJ""",United States,Substantial,Bombardier,0,1/1/84,9/21/17,1185,Yes
CL-600,Accident,4/12/07,"""Traverse City, MI""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,3/11/05,"""Milwaukee, WI""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,2/2/05,"""Teterboro, NJ""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,1/19/10,"""Charleston, WV""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,2/3/12,"""San Francisco, CA""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,12/16/07,"""Chicago, IL""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,1/17/04,"""Rapid City, SD""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,9/28/10,"""Milwaukee, WI""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,9/27/09,"""Vineyard Haven, MA""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,12/14/08,"""Gary, IN""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,10/26/00,"""FALMOUTH, KY""",United States,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,10/23/00,"""NEW YORK, NY""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,5/6/13,"""Osaka, Japan, Japan""",Japan,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,2/24/09,"""Santander, Spain""",Spain,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,7/21/04,"""Snow Hill, VA""",United States,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,6/13/03,"""Phoenix, AZ""",United States,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,5/7/03,"""Boston, MA""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,10/24/02,"""Chicago, IL""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,1/8/16,"""Kiruna, Sweden""",Sweden,Destroyed,Bombardier,2,1/1/78,9/21/17,678,Yes
CL-600,Incident,9/7/13,"""Moscow, Russia""",Russia,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,1/29/13,"""Almaty, Kazakhstan""",Kazakhstan,Destroyed,Bombardier,21,1/1/78,9/21/17,678,Yes
CL-600,Incident,10/16/12,"""Lorient, France""",France,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Accident,8/12/14,"""San Antonio, TX""",United States,Substantial,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,7/27/15,"""Makassar, Indonesia""",Indonesia,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,8/13/03,"""Raleigh Durham, NC""",United States,Minor,Bombardier,0,1/1/78,9/21/17,678,Yes
CL-600,Incident,5/8/02,"""Covington, KY""",United States,None Reported,Bombardier,0,1/1/78,9/21/17,678,Yes
CRJ-200,Accident,11/21/04,"""Baotou, China""",China,Destroyed,Bombardier,55,1/1/92,1/1/07,1054,No
