Date,Mobile Operating System,Percent of Usage
12/1/08,Android,0
12/1/08,iOS,32.56
12/1/08,SymbianOS,42.02
12/1/08,Series 40,0
12/1/08,BlackBerry OS,0
12/1/08,Samsung,0
12/1/08,Unknown,16
12/1/08,Windows Phone,0
12/1/08,Sony Ericsson,0
12/1/08,Linux,1.66
12/1/08,bada,0
12/1/08,Nokia Unknown,0
12/1/08,LG,0
12/1/08,Playstation,4.47
12/1/08,WinCE,2.22
12/1/08,Nintendo 3DS,0
12/1/08,Nintendo,0
12/1/08,webOS,0
12/1/08,WinXP,0
12/1/08,Brew,0
12/1/08,Motorola,0
12/1/08,Win7,0
12/1/08,MeeGo,0
12/1/08,Maemo 5,0
12/1/08,WinVista,0
12/1/08,Other,1.07
1/1/09,Android,0.66
1/1/09,iOS,35.56
1/1/09,SymbianOS,39.31
1/1/09,Series 40,0
1/1/09,BlackBerry OS,0.95
1/1/09,Samsung,0
1/1/09,Unknown,14.73
1/1/09,Windows Phone,0
1/1/09,Sony Ericsson,0
1/1/09,Linux,1.24
1/1/09,bada,0
1/1/09,Nokia Unknown,0
1/1/09,LG,0
1/1/09,Playstation,4.33
1/1/09,WinCE,2.1
1/1/09,Nintendo 3DS,0
1/1/09,Nintendo,0
1/1/09,webOS,0
1/1/09,WinXP,0
1/1/09,Brew,0
1/1/09,Motorola,0
1/1/09,Win7,0
1/1/09,MeeGo,0
1/1/09,Maemo 5,0
1/1/09,WinVista,0
1/1/09,Other,1.12
2/1/09,Android,2.06
2/1/09,iOS,36.43
2/1/09,SymbianOS,37.04
2/1/09,Series 40,0
2/1/09,BlackBerry OS,5.57
2/1/09,Samsung,0
2/1/09,Unknown,11.87
2/1/09,Windows Phone,0
2/1/09,Sony Ericsson,0
2/1/09,Linux,0
2/1/09,bada,0
2/1/09,Nokia Unknown,0
2/1/09,LG,0
2/1/09,Playstation,3.58
2/1/09,WinCE,1.94
2/1/09,Nintendo 3DS,0
2/1/09,Nintendo,0
2/1/09,webOS,0
2/1/09,WinXP,0
2/1/09,Brew,0
2/1/09,Motorola,0
2/1/09,Win7,0
2/1/09,MeeGo,0
2/1/09,Maemo 5,0
2/1/09,WinVista,0
2/1/09,Other,1.52
3/1/09,Android,2.18
3/1/09,iOS,39.6
3/1/09,SymbianOS,35.12
3/1/09,Series 40,0
3/1/09,BlackBerry OS,5.97
3/1/09,Samsung,0
3/1/09,Unknown,11.29
3/1/09,Windows Phone,0
3/1/09,Sony Ericsson,0
3/1/09,Linux,0
3/1/09,bada,0
3/1/09,Nokia Unknown,0
3/1/09,LG,0
3/1/09,Playstation,3.18
3/1/09,WinCE,1.7
3/1/09,Nintendo 3DS,0
3/1/09,Nintendo,0
3/1/09,webOS,0
3/1/09,WinXP,0
3/1/09,Brew,0
3/1/09,Motorola,0
3/1/09,Win7,0
3/1/09,MeeGo,0
3/1/09,Maemo 5,0
3/1/09,WinVista,0
3/1/09,Other,0.95
4/1/09,Android,2.02
4/1/09,iOS,41.91
4/1/09,SymbianOS,34.25
4/1/09,Series 40,0
4/1/09,BlackBerry OS,6.39
4/1/09,Samsung,0
4/1/09,Unknown,10.2
4/1/09,Windows Phone,0
4/1/09,Sony Ericsson,0
4/1/09,Linux,0
4/1/09,bada,0
4/1/09,Nokia Unknown,0
4/1/09,LG,0
4/1/09,Playstation,2.85
4/1/09,WinCE,1.55
4/1/09,Nintendo 3DS,0
4/1/09,Nintendo,0
4/1/09,webOS,0
4/1/09,WinXP,0
4/1/09,Brew,0
4/1/09,Motorola,0
4/1/09,Win7,0
4/1/09,MeeGo,0
4/1/09,Maemo 5,0
4/1/09,WinVista,0
4/1/09,Other,0.85
5/1/09,Android,1.86
5/1/09,iOS,37.32
5/1/09,SymbianOS,39.11
5/1/09,Series 40,0
5/1/09,BlackBerry OS,6.92
5/1/09,Samsung,0
5/1/09,Unknown,9.88
5/1/09,Windows Phone,0
5/1/09,Sony Ericsson,0
5/1/09,Linux,0
5/1/09,bada,0
5/1/09,Nokia Unknown,0
5/1/09,LG,0
5/1/09,Playstation,2.68
5/1/09,WinCE,1.41
5/1/09,Nintendo 3DS,0
5/1/09,Nintendo,0
5/1/09,webOS,0
5/1/09,WinXP,0
5/1/09,Brew,0
5/1/09,Motorola,0
5/1/09,Win7,0
5/1/09,MeeGo,0
5/1/09,Maemo 5,0
5/1/09,WinVista,0
5/1/09,Other,0.82
6/1/09,Android,0.13
