Player,Draft_Year,Draft_Pick,VORP
Pervis Ellison,1989,1,7.4
Danny Ferry,1989,2,5
Sean Elliott,1989,3,16.1
Glen Rice,1989,4,22.1
J.R. Reid,1989,5,-0.2
Stacey King,1989,6,-1.9
George McCloud,1989,7,5.6
Randy White,1989,8,-3.3
Tom Hammonds,1989,9,-6
Pooh Richardson,1989,10,5.5
Nick Anderson,1989,11,23.5
Mookie Blaylock,1989,12,38.9
Michael Smith,1989,13,-0.7
Tim Hardaway,1989,14,34.6
Todd Lichti,1989,15,-0.8
Dana Barros,1989,16,10.6
Shawn Kemp,1989,17,27.3
B.J. Armstrong,1989,18,1.9
Kenny Payne,1989,19,-1.3
Jeff Sanders,1989,20,-20
Blue Edwards,1989,21,5.7
Byron Irvin,1989,22,-20
Roy Marble,1989,23,-20
Anthony Cook,1989,24,-0.8
John Morton,1989,25,-1.3
Vlade Divac,1989,26,45.3
Kenny Battle,1989,27,0.9
Sherman Douglas,1989,28,2.6
Dyron Nix,1989,29,-20
Frank Kornet,1989,30,-20
Jeff Martin,1989,31,-1.2
Stanley Brundy,1989,32,-20
Jay Edwards,1989,33,-20
Gary Leonard,1989,34,-20
Pat Durham,1989,35,-20
Clifford Robinson,1989,36,28.7
Michael Ansley,1989,37,0.5
Doug West,1989,38,-2.2
Ed Horton,1989,39,-20
Dino Radja,1989,40,2.3
Doug Roth,1989,41,-20
Michael Cutright,1989,42,-20
Chucky Brown,1989,43,-3
Reggie Cross,1989,44,-20
Scott Haffner,1989,45,-20
Ricky Blanton,1989,46,-20
Reggie Turner,1989,47,-20
Junie Lewis,1989,48,-20
Haywoode Workman,1989,49,1.5
Brian Quinnett,1989,50,-0.7
Mike Morrison,1989,51,-20
Greg Grant,1989,52,-3
Jeff Hodge,1989,53,-20
Toney Mack,1989,54,-20
Derrick Coleman,1990,1,21.7
Gary Payton,1990,2,63
Mahmoud Abdul-Rauf,1990,3,-0.7
Dennis Scott,1990,4,7.3
Kendall Gill,1990,5,16.9
Felton Spencer,1990,6,-1.9
Lionel Simmons,1990,7,7.2
Bo Kimble,1990,8,-1.1
Willie Burton,1990,9,-1.4
Rumeal Robinson,1990,10,-0.3
Tyrone Hill,1990,11,5.7
Alec Kessler,1990,12,-3.2
Loy Vaught,1990,13,1.8
Travis Mays,1990,14,-0.5
Dave Jamerson,1990,15,-20
Terry Mills,1990,16,5.5
Jerrod Mustaf,1990,17,-1.2
Duane Causwell,1990,18,1.6
Dee Brown,1990,19,11
Gerald Glass,1990,20,-0.4
Jayson Williams,1990,21,0.1
Tate George,1990,22,-1.8
Anthony Bonner,1990,23,2.8
Dwayne Schintzius,1990,24,-1.4
Alaa Abdelnaby,1990,25,-2.3
Lance Blanks,1990,26,-0.5
Elden Campbell,1990,27,10.8
Les Jepsen,1990,28,-20
Toni Kukoc,1990,29,24.7
Carl Herrera,1990,30,-2.6
Negele Knight,1990,31,-3
Brian Oliver,1990,32,-1.3
Walter Palmer,1990,33,-20
Kevin Pritchard,1990,34,-1
Greg Foster,1990,35,-6.3
Trevor Wilson,1990,36,-0.6
A.J. English,1990,37,-2.4
Jud Buechler,1990,38,2.7
Steve Scheffler,1990,39,-20
Bimbo Coles,1990,40,-0.7
Steve Bardo,1990,41,-20
Marcus Liberty,1990,42,-1.1
Tony Massenburg,1990,43,-8
Steve Henson,1990,44,-1.1
Antonio Davis,1990,45,8.8
Kenny Williams,1990,46,1.4
Derek Strong,1990,47,-2.3
Cedric Ceballos,1990,48,6
Phil Henderson,1990,49,-20
Milos Babic,1990,50,-20
Tony Smith,1990,51,-1.1
Stefano Rusconi,1990,52,-20
Abdul Shamsid-Deen,1990,53,-20
Sean Higgins,1990,54,-2.7
Larry Johnson,1991,1,28.3
Kenny Anderson,1991,2,18
Billy Owens,1991,3,11.2
Dikembe Mutombo,1991,4,38.2
Steve Smith,1991,5,24.4
Doug Smith,1991,6,-1.5
Luc Longley,1991,7,1.5
Mark Macon,1991,8,-1.5
Stacey Augmon,1991,9,9.8
Bison Dele,1991,10,4.4
Terrell Brandon,1991,11,23.7
Greg Anthony,1991,12,8.1
Dale Davis,1991,13,28.6
Rich King,1991,14,-20
Anthony Avent,1991,15,-5
Chris Gatling,1991,16,-0.2
Victor Alexander,1991,17,-0.9
Kevin Brooks,1991,18,-1.5
LaBradford Smith,1991,19,-1.6
John Turner,1991,20,-20
Eric Murdock,1991,21,9.4
LeRon Ellis,1991,22,-20
Stanley Roberts,1991,23,-1.9
Rick Fox,1991,24,17.6
Shaun Vandiver,1991,25,-20
Mark Randall,1991,26,-20
