Category,Probability
Improbable,0
Improbable,0.001
Almost No Chance,0.05
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
Improbable,1
Improbable,1
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
We Doubt,1
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
Highly Unlikely,2
Almost No Chance,2
Almost No Chance,2
Almost No Chance,2
Unlikely,2
Little Chance,2
Almost No Chance,2
Almost No Chance,2
Almost No Chance,2
Almost No Chance,2
Almost No Chance,2
Highly Unlikely,2
Almost No Chance,2
Almost No Chance,2
Almost No Chance,2
Highly Unlikely,3
Almost No Chance,3
Highly Unlikely,3
Highly Unlikely,3
Improbable,3
Almost No Chance,3
Highly Unlikely,3
Highly Unlikely,3
Unlikely,3
Improbable,3
Improbable,3
Highly Unlikely,3
Little Chance,4
Improbable,4
Almost No Chance,5
Little Chance,5
Almost No Chance,5
Chances Are Slight,5
Highly Unlikely,5
Highly Unlikely,5
Unlikely,5
Little Chance,5
Little Chance,5
Highly Unlikely,5
Almost No Chance,5
Chances Are Slight,5
Improbable,5
Almost No Chance,5
Highly Unlikely,5
Better Than Even,5
Chances Are Slight,5
We Believe,5
Highly Unlikely,5
We Doubt,5
Chances Are Slight,5
Highly Unlikely,5
Almost No Chance,5
Highly Unlikely,5
Almost No Chance,5
Highly Unlikely,5
Almost No Chance,5
Highly Unlikely,5
Chances Are Slight,5
We Doubt,5
Almost No Chance,5
Highly Unlikely,5
Chances Are Slight,5
Highly Unlikely,5
Chances Are Slight,5
Almost No Chance,5
Highly Unlikely,5
Chances Are Slight,5
We Doubt,5
Highly Unlikely,5
Little Chance,5
Chances Are Slight,5
Almost No Chance,5
Unlikely,5
Highly Unlikely,5
Chances Are Slight,5
Highly Unlikely,5
Almost No Chance,5
Little Chance,5
Almost No Chance,5
Little Chance,5
Improbable,5
Highly Unlikely,5
Chances Are Slight,5
Improbable,5
Highly Unlikely,5
Almost No Chance,5
Highly Unlikely,6
We Doubt,7
Highly Unlikely,7
Little Chance,7
Improbable,7
Improbable,7
Almost No Chance,7
Almost No Chance,7
Unlikely,8
Highly Unlikely,8
Little Chance,8
Little Chance,8
Highly Unlikely,8
Improbable,9
Highly Unlikely,10
Improbable,10
Improbable,10
We Doubt,10
Chances Are Slight,10
Almost No Chance,10
Chances Are Slight,10
Chances Are Slight,10
Almost No Chance,10
Highly Unlikely,10
Improbable,10
Unlikely,10
Little Chance,10
Unlikely,10
Chances Are Slight,10
Improbable,10
Probably Not,10
Little Chance,10
Improbable,10
Unlikely,10
