State,MapX,MapY,Year,PVI Score,State Name,Inclination
AK,0,7,'80,12.5,Alaska,red
AK,0,7,'84,10.9,Alaska,red
AK,0,7,'88,9.1,Alaska,red
AK,0,7,'92,9.1,Alaska,red
AK,0,7,'96,12.6,Alaska,red
AK,0,7,'00,16.7,Alaska,red
AK,0,7,'04,15.1,Alaska,red
AK,0,7,'08,13.4,Alaska,red
AK,0,7,'12,12,Alaska,red
ME,10,7,'80,-1,Maine,blue
ME,10,7,'84,-0.7,Maine,blue
ME,10,7,'88,1.9,Maine,red
ME,10,7,'92,-0.4,Maine,blue
ME,10,7,'96,-5.3,Maine,blue
ME,10,7,'00,-5.2,Maine,blue
ME,10,7,'04,-4.2,Maine,blue
ME,10,7,'08,-5.5,Maine,blue
ME,10,7,'12,-5.5,Maine,blue
VT,9,6,'80,2.6,Vermont,red
VT,9,6,'84,-1.1,Vermont,blue
VT,9,6,'88,-1.3,Vermont,blue
VT,9,6,'92,-4.5,Vermont,blue
VT,9,6,'96,-7.6,Vermont,blue
VT,9,6,'00,-6.8,Vermont,blue
VT,9,6,'04,-8.4,Vermont,blue
VT,9,6,'08,-13.4,Vermont,blue
VT,9,6,'12,-15.7,Vermont,blue
NH,10,6,'80,9.3,New Hampshire,red
NH,10,6,'84,10.8,New Hampshire,red
NH,10,6,'88,9.5,New Hampshire,red
NH,10,6,'92,6,New Hampshire,red
NH,10,6,'96,0.9,New Hampshire,red
NH,10,6,'00,0,New Hampshire,blue
NH,10,6,'04,-0.5,New Hampshire,blue
NH,10,6,'08,-1.6,New Hampshire,blue
NH,10,6,'12,-1,New Hampshire,blue
WA,0,5,'80,2.4,Washington,red
WA,0,5,'84,-0.4,Washington,blue
WA,0,5,'88,-3.7,Washington,blue
WA,0,5,'92,-4.4,Washington,blue
WA,0,5,'96,-3.3,Washington,blue
WA,0,5,'00,-2.6,Washington,blue
WA,0,5,'04,-3.8,Washington,blue
WA,0,5,'08,-5,Washington,blue
WA,0,5,'12,-5.4,Washington,blue
ID,1,5,'80,15,Idaho,red
