date,industry,unemployments
1/1/2000,Manufacturing,734
2/1/2000,Manufacturing,694
3/1/2000,Manufacturing,739
4/1/2000,Manufacturing,736
5/1/2000,Manufacturing,685
6/1/2000,Manufacturing,621
7/1/2000,Manufacturing,708
8/1/2000,Manufacturing,685
9/1/2000,Manufacturing,667
10/1/2000,Manufacturing,693
11/1/2000,Manufacturing,672
12/1/2000,Manufacturing,653
1/1/2001,Manufacturing,911
2/1/2001,Manufacturing,902
3/1/2001,Manufacturing,954
4/1/2001,Manufacturing,855
5/1/2001,Manufacturing,903
6/1/2001,Manufacturing,956
7/1/2001,Manufacturing,1054
8/1/2001,Manufacturing,1023
9/1/2001,Manufacturing,996
10/1/2001,Manufacturing,1065
11/1/2001,Manufacturing,1108
12/1/2001,Manufacturing,1172
1/1/2002,Manufacturing,1377
2/1/2002,Manufacturing,1296
3/1/2002,Manufacturing,1367
4/1/2002,Manufacturing,1322
5/1/2002,Manufacturing,1194
6/1/2002,Manufacturing,1187
7/1/2002,Manufacturing,1185
8/1/2002,Manufacturing,1108
9/1/2002,Manufacturing,1076
10/1/2002,Manufacturing,1046
11/1/2002,Manufacturing,1115
12/1/2002,Manufacturing,1188
1/1/2003,Manufacturing,1302
2/1/2003,Manufacturing,1229
3/1/2003,Manufacturing,1222
4/1/2003,Manufacturing,1199
5/1/2003,Manufacturing,1150
6/1/2003,Manufacturing,1232
7/1/2003,Manufacturing,1193
8/1/2003,Manufacturing,1186
9/1/2003,Manufacturing,1175
10/1/2003,Manufacturing,1041
11/1/2003,Manufacturing,1034
12/1/2003,Manufacturing,1025
1/1/2004,Manufacturing,1110
2/1/2004,Manufacturing,1094
3/1/2004,Manufacturing,1083
4/1/2004,Manufacturing,1004
5/1/2004,Manufacturing,966
6/1/2004,Manufacturing,957
7/1/2004,Manufacturing,1019
8/1/2004,Manufacturing,840
9/1/2004,Manufacturing,852
10/1/2004,Manufacturing,884
11/1/2004,Manufacturing,905
12/1/2004,Manufacturing,872
1/1/2005,Manufacturing,889
2/1/2005,Manufacturing,889
3/1/2005,Manufacturing,879
4/1/2005,Manufacturing,793
5/1/2005,Manufacturing,743
6/1/2005,Manufacturing,743
7/1/2005,Manufacturing,883
8/1/2005,Manufacturing,767
9/1/2005,Manufacturing,775
10/1/2005,Manufacturing,800
11/1/2005,Manufacturing,823
12/1/2005,Manufacturing,757
1/1/2006,Manufacturing,778
2/1/2006,Manufacturing,821
3/1/2006,Manufacturing,701
4/1/2006,Manufacturing,745
5/1/2006,Manufacturing,680
6/1/2006,Manufacturing,635
7/1/2006,Manufacturing,736
8/1/2006,Manufacturing,680
9/1/2006,Manufacturing,632
10/1/2006,Manufacturing,618
11/1/2006,Manufacturing,702
12/1/2006,Manufacturing,660
1/1/2007,Manufacturing,752
2/1/2007,Manufacturing,774
3/1/2007,Manufacturing,742
4/1/2007,Manufacturing,749
5/1/2007,Manufacturing,651
6/1/2007,Manufacturing,653
