date,industry,unemployments,gender
1/1/2000,Manufacturing,734,male
2/1/2000,Manufacturing,694,male
3/1/2000,Manufacturing,739,male
4/1/2000,Manufacturing,736,male
5/1/2000,Manufacturing,685,male
6/1/2000,Manufacturing,621,male
7/1/2000,Manufacturing,708,male
8/1/2000,Manufacturing,685,male
9/1/2000,Manufacturing,667,male
10/1/2000,Manufacturing,693,male
11/1/2000,Manufacturing,672,male
12/1/2000,Manufacturing,653,male
1/1/2001,Manufacturing,911,male
2/1/2001,Manufacturing,902,male
3/1/2001,Manufacturing,954,male
4/1/2001,Manufacturing,855,male
5/1/2001,Manufacturing,903,male
6/1/2001,Manufacturing,956,male
7/1/2001,Manufacturing,1054,male
8/1/2001,Manufacturing,1023,male
9/1/2001,Manufacturing,996,male
10/1/2001,Manufacturing,1065,male
11/1/2001,Manufacturing,1108,male
12/1/2001,Manufacturing,1172,male
1/1/2002,Manufacturing,1377,male
2/1/2002,Manufacturing,1296,male
3/1/2002,Manufacturing,1367,male
4/1/2002,Manufacturing,1322,male
5/1/2002,Manufacturing,1194,male
6/1/2002,Manufacturing,1187,male
7/1/2002,Manufacturing,1185,male
8/1/2002,Manufacturing,1108,male
9/1/2002,Manufacturing,1076,male
10/1/2002,Manufacturing,1046,male
11/1/2002,Manufacturing,1115,male
12/1/2002,Manufacturing,1188,male
1/1/2003,Manufacturing,1302,male
2/1/2003,Manufacturing,1229,male
3/1/2003,Manufacturing,1222,male
4/1/2003,Manufacturing,1199,male
5/1/2003,Manufacturing,1150,male
6/1/2003,Manufacturing,1232,male
7/1/2003,Manufacturing,1193,male
8/1/2003,Manufacturing,1186,male
9/1/2003,Manufacturing,1175,male
10/1/2003,Manufacturing,1041,male
11/1/2003,Manufacturing,1034,male
12/1/2003,Manufacturing,1025,male
1/1/2004,Manufacturing,1110,male
2/1/2004,Manufacturing,1094,male
3/1/2004,Manufacturing,1083,male
4/1/2004,Manufacturing,1004,male
5/1/2004,Manufacturing,966,male
6/1/2004,Manufacturing,957,male
7/1/2004,Manufacturing,1019,male
8/1/2004,Manufacturing,840,male
9/1/2004,Manufacturing,852,male
10/1/2004,Manufacturing,884,male
11/1/2004,Manufacturing,905,male
12/1/2004,Manufacturing,872,male
1/1/2005,Manufacturing,889,male
2/1/2005,Manufacturing,889,male
3/1/2005,Manufacturing,879,male
4/1/2005,Manufacturing,793,male
5/1/2005,Manufacturing,743,male
6/1/2005,Manufacturing,743,male
7/1/2005,Manufacturing,883,male
8/1/2005,Manufacturing,767,male
9/1/2005,Manufacturing,775,male
10/1/2005,Manufacturing,800,male
11/1/2005,Manufacturing,823,male
12/1/2005,Manufacturing,757,male
1/1/2006,Manufacturing,778,male
2/1/2006,Manufacturing,821,male
3/1/2006,Manufacturing,701,male
4/1/2006,Manufacturing,745,male
5/1/2006,Manufacturing,680,male
6/1/2006,Manufacturing,635,male
7/1/2006,Manufacturing,736,male
8/1/2006,Manufacturing,680,male
9/1/2006,Manufacturing,632,male
10/1/2006,Manufacturing,618,male
11/1/2006,Manufacturing,702,male
12/1/2006,Manufacturing,660,male
1/1/2007,Manufacturing,752,male
2/1/2007,Manufacturing,774,male
3/1/2007,Manufacturing,742,male
4/1/2007,Manufacturing,749,male
5/1/2007,Manufacturing,651,male
6/1/2007,Manufacturing,653,male
7/1/2007,Manufacturing,621,male
8/1/2007,Manufacturing,596,male
9/1/2007,Manufacturing,673,male
10/1/2007,Manufacturing,729,male
11/1/2007,Manufacturing,762,male
12/1/2007,Manufacturing,772,male
1/1/2008,Manufacturing,837,male
2/1/2008,Manufacturing,820,male
3/1/2008,Manufacturing,831,male
4/1/2008,Manufacturing,796,male
5/1/2008,Manufacturing,879,male
6/1/2008,Manufacturing,862,male
7/1/2008,Manufacturing,908,male
8/1/2008,Manufacturing,960,male
9/1/2008,Manufacturing,984,male
10/1/2008,Manufacturing,1007,male
11/1/2008,Manufacturing,1144,male
12/1/2008,Manufacturing,1315,male
1/1/2009,Manufacturing,1711,male
2/1/2009,Manufacturing,1822,male
3/1/2009,Manufacturing,1912,male
4/1/2009,Manufacturing,1968,male
5/1/2009,Manufacturing,2010,male
6/1/2009,Manufacturing,2010,male
7/1/2009,Manufacturing,1988,male
8/1/2009,Manufacturing,1866,male
9/1/2009,Manufacturing,1876,male
10/1/2009,Manufacturing,1884,male
11/1/2009,Manufacturing,1882,male
12/1/2009,Manufacturing,1747,male
1/1/2010,Manufacturing,1918,male
2/1/2010,Manufacturing,1814,male
1/1/2000,Leisure and hospitality,782,male
2/1/2000,Leisure and hospitality,779,male
3/1/2000,Leisure and hospitality,789,male
4/1/2000,Leisure and hospitality,658,male
5/1/2000,Leisure and hospitality,675,male
6/1/2000,Leisure and hospitality,833,male
7/1/2000,Leisure and hospitality,786,male
8/1/2000,Leisure and hospitality,675,male
9/1/2000,Leisure and hospitality,636,male
10/1/2000,Leisure and hospitality,691,male
11/1/2000,Leisure and hospitality,694,male
12/1/2000,Leisure and hospitality,639,male
1/1/2001,Leisure and hospitality,806,male
2/1/2001,Leisure and hospitality,821,male
3/1/2001,Leisure and hospitality,817,male
4/1/2001,Leisure and hospitality,744,male
5/1/2001,Leisure and hospitality,731,male
6/1/2001,Leisure and hospitality,821,male
7/1/2001,Leisure and hospitality,813,male
8/1/2001,Leisure and hospitality,767,male
9/1/2001,Leisure and hospitality,900,male
10/1/2001,Leisure and hospitality,903,male
11/1/2001,Leisure and hospitality,935,male
12/1/2001,Leisure and hospitality,938,male
1/1/2002,Leisure and hospitality,947,male
2/1/2002,Leisure and hospitality,973,male
3/1/2002,Leisure and hospitality,976,male
4/1/2002,Leisure and hospitality,953,male
5/1/2002,Leisure and hospitality,1022,male
6/1/2002,Leisure and hospitality,1034,male
7/1/2002,Leisure and hospitality,999,male
8/1/2002,Leisure and hospitality,884,male
9/1/2002,Leisure and hospitality,885,male
