State,Year,Unemployment,State Name,MapX,MapY,US Avg
AK,'80,2.475,Alaska,0,7,Above Average
AL,'80,1.708,Alabama,6,1,Above Average
AR,'80,0.383,Arkansas,4,2,Above Average
AZ,'80,-0.525,Arizona,1,2,Below Average
CA,'80,-0.325,California,0,3,Below Average
CO,'80,-1.367,Colorado,2,3,Below Average
CT,'80,-1.367,Connecticut,9,4,Below Average
DC,'80,0.192,District of Columbia,8,2,Above Average
DE,'80,0.433,Delaware,9,3,Above Average
FL,'80,-1.083,Florida,8,0,Below Average
GA,'80,-0.825,Georgia,7,1,Below Average
HI,'80,-2.117,Hawaii,0,0,Below Average
IA,'80,-1.133,Iowa,4,4,Below Average
ID,'80,0.35,Idaho,1,5,Above Average
IL,'80,0.992,Illinois,5,5,Above Average
IN,'80,2.5,Indiana,5,4,Above Average
KS,'80,-2.742,Kansas,3,2,Below Average
KY,'80,0.767,Kentucky,5,3,Above Average
LA,'80,-0.325,Louisiana,4,1,Below Average
MA,'80,-1.525,Massachusetts,9,5,Below Average
MD,'80,-0.6,Maryland,8,3,Below Average
ME,'80,0.45,Maine,10,7,Above Average
MI,'80,5.175,Michigan,6,5,Above Average
MN,'80,-1.4,Minnesota,4,5,Below Average
MO,'80,0.05,Missouri,4,3,Above Average
MS,'80,0.25,Mississippi,5,1,Above Average
MT,'80,-1.058,Montana,2,5,Below Average
NC,'80,-0.758,North Carolina,6,2,Below Average
ND,'80,-2.233,North Dakota,3,5,Below Average
NE,'80,-3.242,Nebraska,3,3,Below Average
NH,'80,-2.625,New Hampshire,10,6,Below Average
NJ,'80,0.042,New Jersey,8,4,Above Average
NM,'80,0.4,New Mexico,2,2,Above Average
NV,'80,-0.992,Nevada,1,4,Below Average
NY,'80,0.308,New York,8,5,Above Average
OH,'80,1.225,Ohio,6,4,Above Average
OK,'80,-2.775,Oklahoma,3,1,Below Average
OR,'80,1.308,Oregon,0,4,Above Average
PA,'80,0.867,Pennsylvania,7,4,Above Average
RI,'80,0.042,Rhode Island,10,4,Above Average
SC,'80,-0.408,South Carolina,7,2,Below Average
SD,'80,-2.383,South Dakota,3,4,Below Average
TN,'80,0.283,Tennessee,5,2,Above Average
TX,'80,-2.033,Texas,3,0,Below Average
UT,'80,-0.975,Utah,1,3,Below Average
VA,'80,-2,Virginia,7,3,Below Average
VT,'80,-0.992,Vermont,9,6,Below Average
WA,'80,0.892,Washington,0,5,Above Average
WI,'80,0.058,Wisconsin,5,6,Above Average
WV,'80,2.292,West Virginia,6,3,Above Average
WY,'80,-3.308,Wyoming,2,4,Below Average
AK,'85,2.5,Alaska,0,7,Above Average
AL,'85,1.95,Alabama,6,1,Above Average
AR,'85,1.492,Arkansas,4,2,Above Average
AZ,'85,-0.858,Arizona,1,2,Below Average
CA,'85,-0.017,California,0,3,Below Average
CO,'85,-1.117,Colorado,2,3,Below Average
CT,'85,-2.475,Connecticut,9,4,Below Average
DC,'85,0.942,District of Columbia,8,2,Above Average
DE,'85,-2.05,Delaware,9,3,Below Average
FL,'85,-1.217,Florida,8,0,Below Average
GA,'85,-0.783,Georgia,7,1,Below Average
HI,'85,-1.8,Hawaii,0,0,Below Average
IA,'85,0.258,Iowa,4,4,Above Average
ID,'85,0.675,Idaho,1,5,Above Average
IL,'85,1.858,Illinois,5,5,Above Average
IN,'85,0.608,Indiana,5,4,Above Average
KS,'85,-2.117,Kansas,3,2,Below Average
KY,'85,2.008,Kentucky,5,3,Above Average
LA,'85,4.358,Louisiana,4,1,Above Average
MA,'85,-3.225,Massachusetts,9,5,Below Average
MD,'85,-2.592,Maryland,8,3,Below Average
ME,'85,-1.717,Maine,10,7,Below Average
MI,'85,2.758,Michigan,6,5,Above Average
MN,'85,-1.2,Minnesota,4,5,Below Average
MO,'85,-0.667,Missouri,4,3,Below Average
MS,'85,3.167,Mississippi,5,1,Above Average
MT,'85,0.45,Montana,2,5,Above Average
NC,'85,-1.633,North Carolina,6,2,Below Average
ND,'85,-1.517,North Dakota,3,5,Below Average
NE,'85,-2.033,Nebraska,3,3,Below Average
NH,'85,-3.458,New Hampshire,10,6,Below Average
NJ,'85,-1.592,New Jersey,8,4,Below Average
NM,'85,1.142,New Mexico,2,2,Above Average
NV,'85,0.508,Nevada,1,4,Above Average
NY,'85,-0.583,New York,8,5,Below Average
OH,'85,1.692,Ohio,6,4,Above Average
OK,'85,-0.017,Oklahoma,3,1,Below Average
OR,'85,1.667,Oregon,0,4,Above Average
PA,'85,0.817,Pennsylvania,7,4,Above Average
RI,'85,-2.558,Rhode Island,10,4,Below Average
SC,'85,-0.267,South Carolina,7,2,Below Average
SD,'85,-2.367,South Dakota,3,4,Below Average
TN,'85,0.742,Tennessee,5,2,Above Average
TX,'85,-0.15,Texas,3,0,Below Average
UT,'85,-1.167,Utah,1,3,Below Average
VA,'85,-1.708,Virginia,7,3,Below Average
VT,'85,-2.408,Vermont,9,6,Below Average
WA,'85,1.158,Washington,0,5,Above Average
WI,'85,-0.025,Wisconsin,5,6,Below Average
WV,'85,5.958,West Virginia,6,3,Above Average
WY,'85,-0.308,Wyoming,2,4,Below Average
AK,'90,1.617,Alaska,0,7,Above Average
AL,'90,1.175,Alabama,6,1,Above Average
AR,'90,1.292,Arkansas,4,2,Above Average
AZ,'90,-0.358,Arizona,1,2,Below Average
CA,'90,0.167,California,0,3,Above Average
CO,'90,-0.383,Colorado,2,3,Below Average
CT,'90,-0.492,Connecticut,9,4,Below Average
DC,'90,0.65,District of Columbia,8,2,Above Average
DE,'90,-0.908,Delaware,9,3,Below Average
FL,'90,0.508,Florida,8,0,Above Average
GA,'90,-0.15,Georgia,7,1,Below Average
HI,'90,-2.933,Hawaii,0,0,Below Average
IA,'90,-1.2,Iowa,4,4,Below Average
ID,'90,-0.075,Idaho,1,5,Below Average
IL,'90,0.575,Illinois,5,5,Above Average
IN,'90,-0.317,Indiana,5,4,Below Average
KS,'90,-1.3,Kansas,3,2,Below Average
KY,'90,0.367,Kentucky,5,3,Above Average
LA,'90,0.575,Louisiana,4,1,Above Average
MA,'90,0.683,Massachusetts,9,5,Above Average
MD,'90,-1.158,Maryland,8,3,Below Average
ME,'90,-0.275,Maine,10,7,Below Average
MI,'90,2.017,Michigan,6,5,Above Average
MN,'90,-0.842,Minnesota,4,5,Below Average
MO,'90,0.233,Missouri,4,3,Above Average
MS,'90,1.975,Mississippi,5,1,Above Average
MT,'90,0.358,Montana,2,5,Above Average
NC,'90,-1.508,North Carolina,6,2,Below Average
ND,'90,-1.592,North Dakota,3,5,Below Average
NE,'90,-3.267,Nebraska,3,3,Below Average
NH,'90,0.05,New Hampshire,10,6,Above Average
NJ,'90,-0.567,New Jersey,8,4,Below Average
NM,'90,0.95,New Mexico,2,2,Above Average
NV,'90,-0.892,Nevada,1,4,Below Average
NY,'90,-0.25,New York,8,5,Below Average
OH,'90,0.05,Ohio,6,4,Above Average
OK,'90,0.067,Oklahoma,3,1,Above Average
OR,'90,-0.117,Oregon,0,4,Below Average
PA,'90,-0.15,Pennsylvania,7,4,Below Average
RI,'90,0.758,Rhode Island,10,4,Above Average
SC,'90,-0.783,South Carolina,7,2,Below Average
SD,'90,-1.833,South Dakota,3,4,Below Average
TN,'90,-0.233,Tennessee,5,2,Below Average
TX,'90,0.717,Texas,3,0,Above Average
UT,'90,-1.208,Utah,1,3,Below Average
VA,'90,-1.167,Virginia,7,3,Below Average
VT,'90,-0.617,Vermont,9,6,Below Average
