Mission,Year,Country,Outcome
Korabl 4,1960,USSR/Russia,Launch failure
Korabl 5,1960,USSR/Russia,Launch failure
Korabl 11,1962,USSR/Russia,Earth orbit only
Mars 1,1962,USSR/Russia,Launch failure
Korabl 13,1962,USSR/Russia,Earth orbit only
Mariner 3,1964,United States,Earth orbit only
Mariner 4,1964,United States,Mars flyby/Orbiter
Zond 2,1964,USSR/Russia,Launch failure
Mars 1969A,1969,USSR/Russia,Launch failure
Mars 1969B,1969,USSR/Russia,Launch failure
Mariner 6,1969,United States,Mars flyby/Orbiter
Mariner 7,1969,United States,Mars flyby/Orbiter
Mariner 8,1971,United States,Launch failure
Kosmos 419,1971,USSR/Russia,Earth orbit only
Mars 2,1971,USSR/Russia,Lander
Mars 3,1971,USSR/Russia,Lander
Mariner 9,1971,United States,Mars flyby/Orbiter
Mars 4,1973,USSR/Russia,Mars flyby/Orbiter
Mars 5,1973,USSR/Russia,Mars flyby/Orbiter
Mars 6,1973,USSR/Russia,Lander
Mars 7,1973,USSR/Russia,Launch failure
Viking 1,1975,United States,Lander
Viking 2,1975,United States,Lander
Phobos 1,1988,USSR/Russia,Launch failure
Phobos 2,1988,USSR/Russia,Launch failure
Mars Observer,1992,United States,Launch failure
Mars Global Surveyor,1996,United States,Mars flyby/Orbiter
Mars 96,1996,USSR/Russia,Launch failure
Pathfinder/Sojourner,1996,United States,Rover
Nozomi (Japan),1998,Japan/China,Mars flyby/Orbiter
Climate Orbiter,1998,United States,Launch failure
Polar Lander,1999,United States,Launch failure
Deep Space 2 Probes (2),1999,United States,Launch failure
Mars Odyssey,2001,United States,Mars flyby/Orbiter
Mars Express Orbiter/Beagle 2 Lander,2003,European Space Agency,Mars flyby/Orbiter
Mars Exploration Rover - Spirit,2003,United States,Rover
Mars Reconnaissance Orbiter,2005,United States,Mars flyby/Orbiter
Phoenix,2007,United States,Lander
Yinghuo-1 (China),2011,Japan/China,Launch failure
Phobos-Grunt,2011,USSR/Russia,Launch failure
Mars Science Laboratory-Curiosity,2012,United States,Rover
