date,meanTemp,maxTemp,minTemp,precip,avgPrecip,meanWind,maxWind
1/1/15,28,33,22,0,0.11,14,23
1/2/15,36,41,31,0,0.11,13,26
1/3/15,30,37,22,0.62,0.11,10,22
1/4/15,44,52,35,0.57,0.11,8,17
1/5/15,34,50,17,0,0.11,22,37
1/6/15,17,18,15,0.02,0.12,9,22
1/7/15,15,26,4,0,0.1,16,31
1/8/15,9,19,-1,0,0.11,14,25
1/9/15,25,30,19,0.01,0.11,14,25
1/10/15,21,24,17,0,0.11,12,20
1/11/15,24,33,15,0,0.11,10,17
1/12/15,36,38,33,0.2,0.11,9,17
1/13/15,25,35,15,0,0.11,11,21
1/14/15,20,25,14,0,0.11,9,13
1/15/15,28,31,25,0.12,0.12,10,15
1/16/15,27,38,15,0,0.11,16,29
1/17/15,16,22,9,0,0.11,11,22
1/18/15,36,51,20,0.15,0.1,10,26
1/19/15,39,46,32,0,0.11,15,23
1/20/15,33,39,27,0,0.1,14,23
1/21/15,28,34,22,0,0.11,7,14
1/22/15,33,37,29,0,0.11,7,14
1/23/15,31,37,24,0,0.11,10,16
1/24/15,33,34,31,0.71,0.11,10,18
1/25/15,29,38,19,0,0.1,14,25
1/26/15,20,29,11,0.1,0.11,16,33
1/27/15,17,19,14,0.95,0.1,22,32
1/28/15,19,24,13,0.01,0.1,13,20
1/29/15,21,32,10,0,0.11,4,13
1/30/15,27,34,19,0.06,0.1,12,32
1/31/15,16,21,11,0.05,0.11,22,36
2/1/15,21,30,12,0,0.11,12,22
2/2/15,21,31,10,0.78,0.1,18,36
2/3/15,14,22,6,0,0.11,13,24
2/4/15,26,38,14,0,0.11,9,20
2/5/15,22,36,7,0.09,0.11,15,30
2/6/15,13,21,5,0,0.11,12,21
2/7/15,23,29,16,0.07,0.11,11,20
2/8/15,21,29,13,0.37,0.1,14,22
2/9/15,20,25,14,0.88,0.11,15,26
2/10/15,22,30,14,0.05,0.11,11,21
2/11/15,20,25,14,0.01,0.12,12,23
2/12/15,23,30,16,0.03,0.11,5,16
2/13/15,15,22,7,0,0.12,17,28
2/14/15,17,30,3,0.23,0.11,10,22
2/15/15,9,20,-2,0.39,0.12,21,33
2/16/15,8,19,-3,0,0.12,20,31
2/17/15,17,23,10,0.02,0.12,8,14
2/18/15,23,29,17,0.01,0.12,5,14
2/19/15,20,30,10,0.06,0.12,14,30
2/20/15,13,20,5,0,0.11,19,28
2/21/15,19,34,4,0.17,0.12,11,26
2/22/15,34,39,28,0.11,0.12,5,13
2/23/15,19,33,4,0,0.12,15,25
2/24/15,11,19,2,0,0.12,9,20
2/25/15,25,35,14,0.07,0.13,11,22
2/26/15,20,22,17,0.02,0.13,9,18
2/27/15,21,27,15,0,0.13,8,14
2/28/15,22,31,12,0,0.13,9,15
3/1/15,21,30,12,0.17,0.14,6,20
3/2/15,32,37,26,0.01,0.13,14,30
3/3/15,27,33,20,0.26,0.13,10,24
3/4/15,38,43,33,0.02,0.13,11,21
3/5/15,29,39,18,0,0.13,12,20
3/6/15,17,24,9,0,0.13,10,23
3/7/15,28,38,17,0,0.14,11,21
3/8/15,33,42,24,0,0.13,9,25
3/9/15,37,48,26,0,0.13,10,25
3/10/15,40,48,31,0.06,0.14,7,17
3/11/15,47,57,37,0.01,0.13,12,25
3/12/15,34,43,25,0,0.12,17,32
3/13/15,32,40,24,0,0.13,11,18
3/14/15,35,39,31,0.8,0.13,8,15
3/15/15,34,41,27,0.27,0.13,14,33
3/16/15,36,45,26,0,0.14,9,18
3/17/15,40,51,28,0.14,0.14,14,38
3/18/15,26,30,22,0,0.15,22,36
3/19/15,27,34,19,0,0.15,16,30
3/20/15,28,32,23,0.05,0.15,4,12
3/21/15,35,41,28,0.09,0.15,7,22
3/22/15,30,39,21,0,0.15,18,33
3/23/15,26,33,18,0,0.16,15,24
3/24/15,28,35,20,0,0.15,8,13
3/25/15,39,49,28,0.04,0.15,9,22
3/26/15,47,56,38,0.8,0.15,9,16
3/27/15,41,44,37,0.21,0.15,5,13
3/28/15,35,40,30,0.12,0.15,13,24
3/29/15,34,42,26,0,0.13,9,17
3/30/15,38,45,30,0,0.14,13,29
3/31/15,44,50,37,0,0.14,12,20
4/1/15,39,47,30,0,0.13,10,21
4/2/15,46,61,30,0,0.14,13,29
4/3/15,52,59,45,0.03,0.14,12,24
4/4/15,44,52,36,0.39,0.14,16,37
4/5/15,41,49,32,0,0.14,15,28
4/6/15,39,42,36,0,0.13,9,17
4/7/15,39,42,36,0.03,0.13,8,15
4/8/15,38,42,34,0.26,0.14,17,24
4/9/15,35,37,33,0.09,0.14,17,25
4/10/15,46,55,36,0.09,0.14,8,20
4/11/15,50,57,42,0,0.14,17,30
4/12/15,54,68,39,0,0.14,9,16
4/13/15,55,69,41,0,0.14,12,24
4/14/15,59,65,52,0.01,0.13,11,25
4/15/15,59,67,50,0,0.12,12,25
4/16/15,51,60,41,0,0.12,10,23
4/17/15,56,65,47,0.06,0.12,13,22
4/18/15,52,60,43,0,0.11,9,28
4/19/15,46,50,41,0,0.11,11,18
4/20/15,46,51,41,0.61,0.11,14,25
4/21/15,56,65,46,0.54,0.11,10,20
4/22/15,55,67,43,0,0.12,15,35
4/23/15,45,51,38,0,0.11,16,25
4/24/15,44,50,37,0,0.11,16,23
4/25/15,46,56,36,0,0.11,11,18
4/26/15,50,56,43,0,0.11,6,14
4/27/15,51,57,45,0.1,0.12,12,22
4/28/15,53,64,42,0.07,0.11,14,26
4/29/15,51,54,48,0,0.11,9,16
